Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss  -0.13 |n_ep   133 |ep_len   31.1 |ep_rew  -0.24 |raw_ep_rew   0.66 |env_step   4000 |time 00:30 rem 1004:37
iter  67500 |loss   0.10 |n_ep 10204 |ep_len  125.1 |ep_rew   2.71 |raw_ep_rew  20.56 |env_step 540000 |time 68:35 rem 947:33
iter  68000 |loss  -0.01 |n_ep 10239 |ep_len  114.0 |ep_rew   2.87 |raw_ep_rew  23.24 |env_step 544000 |time 69:05 rem 947:01
iter  68500 |loss  -0.05 |n_ep 10277 |ep_len  120.9 |ep_rew   2.37 |raw_ep_rew  22.99 |env_step 548000 |time 69:36 rem 946:27
iter  69000 |loss   0.02 |n_ep 10314 |ep_len  100.6 |ep_rew   2.22 |raw_ep_rew  22.31 |env_step 552000 |time 70:06 rem 945:54
iter  69500 |loss   0.03 |n_ep 10355 |ep_len   85.0 |ep_rew   1.52 |raw_ep_rew  21.13 |env_step 556000 |time 70:36 rem 945:22
iter  70000 |loss  -0.12 |n_ep 10388 |ep_len  116.9 |ep_rew   2.41 |raw_ep_rew  19.94 |env_step 560000 |time 71:06 rem 944:49
iter  70500 |loss   0.03 |n_ep 10419 |ep_len  118.5 |ep_rew   2.44 |raw_ep_rew  20.98 |env_step 564000 |time 71:37 rem 944:16
iter  71000 |loss  -0.04 |n_ep 10449 |ep_len  120.4 |ep_rew   2.81 |raw_ep_rew  21.21 |env_step 568000 |time 72:07 rem 943:43
iter  71500 |loss  -0.06 |n_ep 10487 |ep_len   95.0 |ep_rew   1.94 |raw_ep_rew  21.69 |env_step 572000 |time 72:37 rem 943:11
iter  72000 |loss   0.10 |n_ep 10521 |ep_len  115.1 |ep_rew   2.49 |raw_ep_rew  20.27 |env_step 576000 |time 73:08 rem 942:39
iter  72500 |loss   0.00 |n_ep 10558 |ep_len  112.3 |ep_rew   2.09 |raw_ep_rew  20.26 |env_step 580000 |time 73:38 rem 942:06
iter  73000 |loss  -0.10 |n_ep 10593 |ep_len  113.0 |ep_rew   2.53 |raw_ep_rew  19.84 |env_step 584000 |time 74:08 rem 941:33
iter  73500 |loss   0.07 |n_ep 10625 |ep_len  111.7 |ep_rew   2.30 |raw_ep_rew  21.20 |env_step 588000 |time 74:39 rem 941:00
iter  74000 |loss   0.02 |n_ep 10662 |ep_len  123.7 |ep_rew   2.97 |raw_ep_rew  22.46 |env_step 592000 |time 75:09 rem 940:28
iter  74500 |loss  -0.06 |n_ep 10698 |ep_len   97.7 |ep_rew   2.01 |raw_ep_rew  21.19 |env_step 596000 |time 75:39 rem 939:55
iter  75000 |loss   0.19 |n_ep 10734 |ep_len   95.5 |ep_rew   1.98 |raw_ep_rew  21.04 |env_step 600000 |time 76:10 rem 939:23
